E,nu,pressure,D_outer,t_wall,damage_factor,hoop_stress,axial_stress,radial_stress,von_mises_stress,utilization
197735921005.55963,0.294476640179892,10269215.598182667,0.6157330945627936,0.029021040494184348,0.7177906149191635,141501862.13175446,70750931.06587723,-5134607.7990913335,122651730.26629516,0.2962602180345294
208150701698.17905,0.30654917673543053,12073684.751852948,0.8051736894253818,0.028490770780159325,0.6079986393695123,268529506.2172778,134264753.1086389,-6036842.375926474,232631715.91131568,0.5619123572737094
215534553335.3716,0.31733347672432494,13070785.1637197,0.8822253279694574,0.023312420020081336,0.7615253422110009,311701890.3121524,155850945.1560762,-6535392.58185985,270020855.9988021,0.6522242898521791
220000000000.0,0.31023092485389714,14975027.334525926,0.7070683809958038,0.029600100282989726,0.6396369015275514,264647625.4633901,132323812.73169506,-7487513.667262963,229313839.76654255,0.5538981636873008
198355943101.7605,0.31167989574601496,10162030.271033406,0.8146938183984477,0.015304995722774165,0.8855731713355184,295250777.8102302,147625388.9051151,-5081015.135516703,255745152.5698323,0.6177419144198848
180000000000.0,0.3053967222685142,5260560.184472947,0.6027039713190679,0.013389513237760699,0.852459177565137,133628382.36289987,66814191.181449935,-2630280.0922364737,115755461.2234673,0.27960256334170847
205749857724.93884,0.2780117114598934,6157688.908146576,0.5015659422520805,0.029324993615857362,0.5149308513095262,96107764.5870629,48053882.29353145,-3078844.454073288,83288691.27086884,0.2011804136977508
195119820282.31506,0.2847536163827315,10088883.191412313,0.6798732959604893,0.014514396971307268,0.8496781239327317,268002573.87932804,134001286.93966402,-5044441.595706156,232151849.2182886,0.5607532589813734
202922757031.81863,0.29735043590584237,9957447.648038583,0.576093260526452,0.020927925379729713,0.6636558870973324,196552844.61999685,98276422.30999842,-4978723.824019291,170292551.91309842,0.4113346664567595
206195285976.29883,0.30805759144831274,9809059.556166489,0.5719748660404523,0.014821080208796444,0.7364870004820071,247188723.94577292,123594361.97288646,-4904529.778083244,214127890.1656642,0.5172171260040198
216864329118.99127,0.31185162758928253,10166027.826304948,0.8196608035357563,0.014302773309014806,0.5993618306813835,475845005.1746683,237922502.58733416,-5083013.913152474,412125210.03052145,0.9954715218128537
220000000000.0,0.30956901002016235,5991277.446773206,0.620513296628583,0.026549553917162814,0.7233662183830514,90797516.09522958,45398758.04761479,-2995638.723386603,78689996.49357381,0.19007245529848749
215972890705.61365,0.2941506269332511,14944538.55903189,0.7160862827105685,0.01829849193906828,0.5164573070124734,551253216.8581094,275626608.4290547,-7472269.279515945,477457764.2373155,1.1532796237616316
193595655385.974,0.2927649404819904,10730090.675301513,0.8459589486211131,0.01922383294818727,0.9957706678506231,226365442.4924899,113182721.24624495,-5365045.337650756,196111623.5147489,0.47369957370712296
219209475513.12323,0.2701178994048955,13464069.83558311,0.6721547561288652,0.02258067131582478,0.9908309600386678,188781593.6861787,94390796.84308936,-6732034.917791555,163628200.1372455,0.39523719839914373
